id,manufacturer,carName,className,carType,drive,category,shareCode,power,weight,lateralG,concept,summary,tuneNotes,updatedAt,testTrackATime,testTrackBTime,testTrackCTime
911turbosleicht93-A700,Porsche,911 Turbo S Leichtbau 1993,A 700,레트로 스포츠카,RWD,온로드,986 286 772,401hp,1048kg,1.7G,서스펜션 위주로 다시 건듬,리메이크 순정(purist) 튜닝/ 하중이동 매우 주의해서 할 것,경량화/ 기본 타이어,2026-07-08,,1:32.467,
supervan394-s1800,Ford,Supervan 3 1994,S1 800,트랙 토이,RWD,온로드,308 168 455,523hp,824kg,2.1G,진짜 이딴 것도 빠른가 싶은 차를 만드려는 게 목표,생각보다 안정적인데 가끔씩 반항하면서 뒤가 툭 날라가는 게 좀 있음,드리프트 타이어 / 엔진 풀업 / 초경량화,2026-07-07,,1:19.830,
mustanggt24-S1800,Ford,Mustang GT 2024,S1 800,모던 머슬,RWD,온로드,616 068 131,855hp,1371kg,2.0G,이름에 GT 들어가길래 진짜 GT스러울지 궁금해서 만듬,전혀 GT스럽지 않음 머슬카로 분류한게 이유가 있었네,경량화/ 슬릭타이어/ 정변위 슈퍼차저,2026-07-07,,1:25.110,
nsxr92-A700,Honda,NSX-R 1992,A 700,레트로 스포츠카,RWD,온로드,563 235 923,458hp,1036kg,1.7G,하중이동 연습용으로 좋을듯함 /안정적인 운동성,순정(purist) 튜닝/ 트레일 브레이킹 안하면 차 안돌아감,경량화/ 도로주행 타이어,2026-07-07,,1:31.781,
242tub83-a700,Volvo,242 Turbo Evolution 1983,A 700,클래식 랠리,RWD,온로드,181 939 406,355hp,1197kg,1.7G,85년도에 DTM 시리즈를 우승했던 그때 그 튜닝을 포르자에 녹여냄,85년도 DTM 우승 컨셉 튜닝,슬릭/경량화/롤케이지,2026-07-06,,1:33.282,
911gt295-s1800,Porsche,911 GT2 1995,S1 800,레트로 슈퍼카,RWD,온로드,448 345 251,579hp,1098kg,2.2G,포르쉐 컨셉 튜닝으로 2000s ALMS 레이싱 경주 차량을 최대한 구현하고자 함,ALMS 2000년 포르쉐,슬릭/580마력,2026-07-06,,1:22.953,
ram06-a700,Dodge,Ram SRT-10 2006,A 700,모던 머슬,RWD,온로드,184 081 975,867hp,1472kg,1.7G,아니 차가 픽업트럭인데 분류가 현세대 머슬카라니까요? 이걸 어케참는데,아니 차가 엑셀 밟을 때마다 너 엑셀 밟을거야? 정말로? 진짜로? 라고 실시간으로 협박하는데 엑셀 조금이라도 잘못밟으면 차가 나를 죽여버리거든요? 근데 재밌음,드리프트 타이어를 극한으로 활용,2026-07-06,,1:29.926,
gt323-s1800-1,Porsche,911 GT3 RS 2023,S1 800,트랙 토이,RWD,온로드,389 900 544,564hp,1081kg,2.3G,TA느낌 나는 로드형 포르쉐?,새롭게 공부한 LSD 이론이 성공적으로 먹어서 기록 단축에 매우 큰 역할을 해내는데 성공함 / 근데 차가 뭔가 물에 살짝 떠다니는 거 같음 수막현상이 실시간으로 일어나는? 심지어 엑셀 밟는 걸 좀 참아줘야함 / 절대 초보자가 날먹으로 타는 건 아니라는 테스터 3명의 일관된 의견이 있었음,드리프트 타이어 / 에어로 조정 / 경량화 / 배기튜닝,2026-07-06,,1:18.333,
gtrnismo24-S1800,Nissan,GT-R Nismo 2024,S1 800,트랙 토이,4WD,온로드,116 246 381,634hp,1227kg,2.0G,딸깍하면 22초 나오는건 좀 꼴받네,타기 쉬운 4륜 트랙토이/ 살짝 후륜처럼 타야해서 후륜 타기 힘들면 이걸로 연습하세요,경량화/드리프트 타이어/ 순정 에어로,2026-07-06,,1:22.497,
corvettezr109-S1800,Chevrolet,Corvette ZR1 2009,S1 800,모던 머슬,RWD,온로드,167 252 512,700hp,1212kg,2.2G,진짜 그냥 FR 트랙 토이 느낌인데,이게 왜 트랙토이가 아니고 모던 머슬임?,경량화/ 슬릭 타이어/ 5.5L V8 자흡 스왑,2026-07-06,,1:23.918,
f5095-S1800,Ferrari,F50 1995,S1 800,레트로 슈퍼카,RWD,온로드,891 013 668,862hp,1211kg,2.0G,정신 나갈거 같아 ,튜닝 수정함 / 다른 MR이랑은 셋업을 완전히 다르게 잡아햐 탈만함 터보차저 토크 올라올때 조심,경량화/ 드리프트 타이어/ 안티랙 트윈터보 장착/ 에어로,2026-07-06,,1:20.936,
gtblack21-S1800,Mercedes-AMG,GT Black Series 2021,S1 800,트랙 토이,RWD,온로드,379 532 855,738hp,1209kg,2.1G,전반적으로 오버스티어 성향,GT3 레이스카 느낌/ 스로틀 조작 주의,경량화/ 드리프트 타이어,2026-07-06,,1:22.028,
911gt3rs23-S1800,Porsche,911 GT3 RS 2023,S1 800,트랙 토이,RWD,온로드,127 567 447,564hp,1090kg,2.3G,극단적 코너링 세팅,설명글 고봉밥 되어있는 911GT3RS의 덜 매운맛 버전,경량 자흡 드리프트 타이어,2026-07-06,,1:20.430,
nsx22-S1800,Acura,NSX Type S 2022,S1 800,모던 슈퍼카,4WD,온로드,133 612 779,632hp,1373kg,2.0G,기존 차량의 로우 그립 이슈를 그래도 해결함,로봇 잡으면 공짜로 주니까 튜닝해놓음 / 리메이크,하이브리드 엔진으로 바꾸고 타이어가 살짝 불안하고 거대한 와이드바디 키트를 장착함,2026-07-05,,1:22.970,
acty94-B600,Honda,Acty 1994,B 600,대중 국산차,4WD,혼합,414 866 687,292hp,864kg,1.5G,반정도 차고를 낮추고 서스페션을 부드럽게해서 최대한 안넘어지게 노력해봄,요청 받아서 만든 랠리?? 튜닝/ 2.0L VVT 원심슈퍼차저 스왑/ 탑차 바디킷,경량화/ 랠리타이어/ 2.0L VVT 원심 슈퍼차저/ 탑차 바디킷과 성능 범퍼,2026-07-05,,1:43.704,
620r21-S1800-2,Mclaren,620R 2021,S1 800,트랙 토이,RWD,온로드,646 616 045,655hp,1189kg,2.2G,초보자가 쉽게 퍼먹기엔 어려워도 고점 하나만 위해 깎음,자연흡기 장점을 극대화한 숙련자용 세팅 / 솔직히 레전드 아일랜드에서 안정적으로 19초대 계속 뽑을 수 있는 건 이거밖에 없을듯 / 진짜 극한의 하드 브레이킹은 좀 주의,F1 엔진 스왑 / 세미슬릭 타이어,2026-07-03,,1:19.045,
lanevox08-A700,Mitsubishi,Lancer Evolution X GSR 2008,B 600,모던 랠리,4WD,페스티벌 시즌 숙제,785 739 992,305hp,1281kg,1.7G,진짜 안 미끄러지려고 기를 쓰고 깎음,에보8이 너무 지루해서 새로 만듬,와이드바디 / 엔진 업글 X,2026-07-02,,,1:01.122
s1502-a700,Nissan,Silvia Spec-R 2002,A 700,레트로 스포츠카,RWD,페스티벌 시즌 숙제,147 905 955,360hp,1073kg,2.1G,그냥 어떻게든 안 미끄러뜨리게 만듬,이거 미끄러뜨리면 운전연수 다시 받아야함,와이드바디 / 뒤타이어 폭 풀업,2026-07-02,,1:30.363,
celica92-b600,Toyota,Celica GT-Four ST185 1992,B 600,레트로 랠리,4WD,혼합,638 930 973,299hp,1155kg,1.4G,그룹B가 끝나고 잠깐 잊혀졌을 수도 있는 그룹A 시기를 기억하기 위해 튜닝,그룹A 랠리에서 뛰던 그 당시 셀리카,오프로드 타이어에 그룹A 사양의 엔진 마력과 무게를 맞춤,2026-07-02,,,1:01.619
delta92,Lancia,Delta HF Integrale Evo 1992,B 600,레트로 랠리,4WD,혼합,426 516 139,295hp,1110kg,1.6G,그룹B가 끝나고 잠깐 잊혀졌을 수도 있는 그룹A 시기를 기억하기 위해 튜닝,그룹A 랠리에서 뛰던 그 당시 란치아,오프로드 타이어에 그룹A 사양의 엔진 마력과 무게를 맞춤,2026-07-02,,,1:00.731
viper08-s1800,Dodge,Viper SRT-10 ACR 2008,S1 800,트랙 토이,RWD,페스티벌 시즌 숙제,540 918 225,760hp,1412kg,2.2G,사람들이 모두 고수의 운전실력을 가지지 않았다는 걸 깨닫고 만듬,미끄러지긴 하는데 안 미끄러뜨리게만 타면 차가 알아서 해줌 / 난이도 쉬움 / 브레이크 락이 좀 있긴 한데 브레이크 밟을 일이 그렇게 많을까? 싶긴 함,에어로에 원심 슈퍼차저,2026-07-02,,1:19.408,
911gt2rs18-S2900,Porsche,911 GT2 RS 2018,S2 900,트랙 토이,RWD,온로드,162 130 888,1058hp,1328kg,2.3G,RR보단 MR느낌이 남,포르쉐 장난감,경량화/ 세미슬릭,2026-07-02,,1:15.774,
570s15-S1800-1,Mclaren,570S Coupé 2015,S1 800,모던 슈퍼카,RWD,온로드,958 764 676,754hp,1224kg,2.1G,GT3 같은 느낌은 아니고 멕시코시절 파워 후륜같은 느낌,에어로킷 덕지덕지/ 안티랙 터보/ 몸을 비틀면서 트랙을 달려보세요 / 머플러에서 교향곡 나옴 개쩜,경량화/ 드리프트 타이어/ 안티랙 터보,2026-07-02,,1:22.287,
evo804-A700-1,Mitsubishi,Lancer Evolution VIII MR 2004,A 700,모던 랠리,4WD,혼합,142 610 067,400hp,1094kg,1.8G,이제는 안 뒤집힘,란에보8 환영팩 레플리카 / 환영팩 없는 사람들을 위한 차 / 리모델링,포르자 에어로에 오프로드 타이어,2026-07-01,0:57.887,1:32.856,0:57.055
8ccomp07-A700,Alfa Romeo,8C Competizione 2007,A 700,GT 자동차,RWD,온로드,172 073 417,510hp,1277kg,1.8G,서스펜션 세팅이 안정성 위주라서 1.8G를 끝까지 못쓰는 느낌임 대신 안정적임,산책용 GT카/ 리어윙 장착,원본 타이어/ 경량화,2026-07-01,,1:32.040,
velostern19-A700-2,Hyundai,Veloster N 2019,A 700,슈퍼 핫 해치,FWD,온로드,123 404 935,484hp,1139kg,1.8G,아니 튜닝 올라온 거 타보고서 저거 기록 100% 더 잘 나올 거 같은데? 에서 출발함,와이드바디가 주는 안정감이 5때랑 차원이 다름,순정엔진/와이드바디/랠리 타이어/랠리 서스,2026-07-01,,1:29.586,1:01.410
diablogtr99-S2900,Lamborghini,Diablo GTR 1999,S2 900,익스트림 트랙토이,RWD,온로드,141 538 787,607hp,921kg,2.5G,기본으로 주는 슬릭 타이어가 종류가 다른건가봐,주간숙제 깨면 주는거 가지고 놀려고 튜닝/ 순정엔진 유지,경량화/ 순정 타이어/ 순정 엔진,2026-07-01,,1:16.370,
dbssuperleg19-S1800,Aston Martin,DBS Superleggera 2019,S1 800,슈퍼 GT,RWD,온로드,117 098 550,760hp,1452kg,2.1G,그냥 순수하게 차가 무거워서 서스펜션을 단단하게 만듬,그냥 만들어봄/ 포르자 에어로 / 무거움,경량화/ 세미슬릭,2026-07-01,,1:24.374,
velostern19-A700,Hyundai,Veloster N 2019,A 700,슈퍼 핫 해치,FWD,온로드,316 347 181,472hp,1116kg,1.7G,경기용 터보엔진에 안티랙 꽂으니깐 터보랙 관련 문제는 전혀 없음,랠리카로 만들고 싶었는데 온로드에서만 빠른 차가 되었다,경량화/ 랠리타이어/ 포르자 에어로 /1.6L 터보 랠리 스왑,2026-07-01,,1:30.893,
brocky17-A700,Ford,"#25 ""BROCKY"" Ultra4 bronco RTR 2017",A 700,언리미티드 오프로드,4WD,오프로드,157 171 566,850hp,2019kg,1.5G,무난한 오프로드 주행용인데 정작 깎으려면 사람 잡아먹는 놈,리메이크된 브롱키 / 뭔가 저점 뽑기는 쉬운데 고점 뽑기는 상당히 난해함,7200cc V8에 경량화를 안 해버림,2026-07-01,,,0:56.705
atom13-s2900,Ariel,Atom 500 V8 2013,S2 900,익스트림 트랙토이,RWD,온로드,830 355 237,669hp,665kg,2.4G,공도로 나온 F1 머신 컨셉,무슨 25년도 페라리처럼 허구한 날 LICO 쳐 해야하는 차가 나올 뻔 했는데 영혼부터 뜯어고쳐서 살리는데 성공했음 아마도 이 정도면 대충 26년도 레드불 정도는 하는 듯,슬릭에 트윈터보? 네? 그리고 그 누구보다 레드불 데칼이 잘 어울림,2026-06-30,,1:12.426,
viper99-s1800,Dodge,Viper GTS ACR 1999,S1 800,레트로 머슬,RWD,온로드,725 172 533,642hp,1256kg,2.1G,바이퍼 컨셉 튜닝으로 1999s ALMS 레이싱 경주 차량을 최대한 구현하고자 함,ALMS 1999년 바이퍼,슬릭/경량화/640마력대로 맞춰놓음,2026-06-30,,1:24.463,
corvette02-s1800,Chevrolet,Corvette Z06 2002,S1 800,레트로 머슬,RWD,온로드,130 641 602,609hp,1158kg,2.1G,콜벳 컨셉 튜닝으로 2002s ALMS 레이싱 경주 차량을 최대한 구현하고자 함,ALMS 2002년 콜벳,슬릭/경량화/610마력 대,2026-06-30,,1:22.766,
c63scoupe16-A700,Mercedes-AMG,C 63 S Coupé 2016,A 700,모던 슈퍼 세단,RWD,온로드,130 281 688,516hp,1443kg,1.7G,서스펜션 매우 단단,순정(purist) 튜닝/ 무게에 비해 은근 민첩함,스포츠 타이어/ 경량화,2026-06-30,,1:33.202,
600lt18-S1800-1,Mclaren,600LT Coupé 2018,S1 800,트랙 토이,RWD,온로드,752 216 269,749hp,1246kg,2.1G,안티랙 터보 실험차량,안티랙 달면 터보차도 쓸만해지는가 실험정신으로 만듬/ 서킷보단 스프린트에서 쓸만할듯,경량화/ 포르자 에어로/ 드리프트 타이어/ 안티랙,2026-06-30,,1:23.031,
512tr92-A700,Ferrari,512 TR 1992,A 700,레트로 슈퍼카,RWD,온로드,150 399 526,537hp,1298kg,1.6G,순수하게 횡G가 딸려서 코너링이 힘듬/ 트레일 브레이킹으로 잘 돌것,순정(purist)튜닝/ 잘 안돌아감 주의,경량화/ 스트리트 타이어,2026-06-30,,1:32.899,
viperacr16-S1800,Dodge,Viper ACR 2016,S1 800,트랙 토이,RWD,온로드,205 122 957,662hp,1236kg,2.2G,오버스티어 성향이 강하긴해서 안티롤바를 강하게 잡음,과부제조기..가 아니잖아 그냥 잘 돌아가는 트랙토이잖아,경량화 / 드리프트 타이어,2026-06-30,,1:22.306,
rxc15-S2900,Radical,RXC Turbo 2015,S2 900,익스트림 트랙토이,RWD,온로드,380 139 809,487hp,759kg,2.8G,이름엔 터보가 있지만 실제론 터보가 아님,나는 개쩌는 레디컬이니까 / 리메이크로 더 개쩔어짐,3리터 V8 스왑해서 자연흡기로 만듬,2026-06-30,0:47.037,1:11.927,
207super07-A700,Peugeot,207 Super 2000 2007,A 700,랠리 몬스터,4WD,혼합,149 838 177,425hp,1092kg,1.7G,난 이 차가 WRC에 출전했던 거를 잠깐 까먹고 너무 옛날 스타일의 랠리로 만들어서 차가 쓰레기였던 걸 그저 원래 집으로 돌려보내줬을 뿐,리메이크 / WRC 스타일을 적용해서 기존 차량보다 약 1초의 기록 단축 성과를 이룩함,오프로드 타이어 / 앞 구동배분 6,2026-06-29,,1:29.523,0:55.565
vivio94-c500,Subaru,Vivio RX-R 1994,C 500,대중 국산차,4WD,혼합,110 816 032,109hp,650kg,1.6G,액티처럼 일단 작고 4륜이여서 오프로드로 던져봄,작고 귀엽고 깜찍한데 소리는 뭔가 이 차에서 나면 안될 소리가 남,나 엔진스왑 안 했는데 왜 모터바이크 엔진 소리가 남?,2026-06-29,,1:52.458,1:05.509
620r21-S1800,Mclaren,620R 2021,S1 800,트랙 토이,RWD,온로드,604 308 400,637hp,1183kg,2.2G,진짜 그냥 좋은 MR느낌임,정말 좋은 트랙용 MR/ 최고속도는 다소 낮음,경량화/드리프트 타이어,2026-06-29,,1:22.039,
765lt21-S1800,Mclaren,765LT 2021,S1 800,트랙 토이,RWD,온로드,915 159 730,639hp,1168kg,2.2G,그냥 차가 너무 안정적임,5.2L V10 스왑/ 탈출 가속이 안정적인 트랙 세팅,경량화/ 드리프트 타이어/ 5.2L V10,2026-06-29,,1:22.092,
warthog-a700,AMG Transport Dynamics,M12S Warthog CST 2554,A 700,언리미티드 오프로드,4WD,오프로드,179 104 190,1196hp,2291kg,1.5G,그냥 겁나 크고 짱짱한 오프로드 머신을 원했는데 딱 맞게 나온 듯,아니 코버넌트 잡으러 가려면 차가 더 빨라야 한다니까요?,7200cc V8로 엔진 교체해서 출력이 더 좋아짐,2026-06-29,,,0:55.885
montero95-c500,Mitsubishi,Montero Exceed 2800 TD 1995,C 500,픽업 및 4*4,4WD,오프로드,418 705 463,257hp,1675kg,1.4G,갤로퍼로 산 타는 실생활? 근데 요즘도 하잖아 ㄷㄷ,사실 얘는 갤로퍼 이미지가 너무 강해서,오프로드 타이어 / 오프로드 바디킷 / 그 당시 갤로퍼,2026-06-28,,,1:06.582
acty94-c500,Honda,Acty 1994,C 500,대중 국산차,4WD,오프로드,627 032 041,150hp,647kg,1.4G,그냥 전천후 오프로더? 가 컨셉,작은 경트럭이 4륜인데 오프로드로 던져봐야 하지 않을까,오프로드 최소 개조 느낌인데 이거 느낌 이상함 근데 C클래스라서 티도 안 남,2026-06-28,,,1:04.315
131-c500,Abarth,FIAT 131 1980,C 500,클래식 랠리,RWD,혼합,112 136 726,170hp,845kg,1.6G,RWD가 4륜이랑 오프로드에서 비비던 시절의 이야기,이 당시 왜 후륜 랠리가 경쟁력 있는지 깨달음,그냥 오프로드 타이어만 달고 랠리 튜닝 했는데,2026-06-28,,1:50.554,1:04.553
bentayga-a700,Bentley,Bentayga 2016,A 700,스포츠 유틸리티 영웅,4WD,오프로드,612 557 887,750hp,1835kg,1.6G,영국식 오프로드 만들려고 했는데요,뭔가 비포장에서 타기에는 차가 좀 큰 거 같고 크로스컨트리에서 타기에는 뭔가 애매한데,그냥 오프로드 사전 설정 한 다음 몇 가지만 바꿈,2026-06-28,,,0:55.791
speed98-s1800,TVR,Cerbera Speed 12 1998,S1 800,레트로 슈퍼카,RWD,온로드,560 614 149,800hp,926kg,2.0G,ㅘㅏㅏㅏㅏ 하는 소리밖에 안 나옴 이거 타면서 미친놈처럼 웃었음,5때도 사람 잡아먹는 주행감과 그에 비례하는 속도를 가져서 튜닝했는데 6에서는 사람은 좀 덜 잡아먹는데 그냥 뒤지게 빨라요,엔진은 안 건들고 하체만 건드렸습니다,2026-06-27,,1:20.299,
deltas4-A700-1,Lancia,Delta S4 1986,A 700,레트로 랠리,4WD,혼합,129 691 202,347hp,953kg,1.9G,랠리는 랠리다,와 이거 생각보다 진짜 빠름,오프로드 타이어 / 경량화와 약간의 엔진,2026-06-26,,1:31.928,0:56.753
beetle17,Volkswagen,#34 Andretti Rally Cross Beetle 2017,S1 800,랠리 몬스터,4WD,혼합,154 864 335,730hp,1204kg,1.8G,빠른 랠리를 만들었는데 나는 모르겠다요,뭔가 빠른 건 맞는데 컨트롤은 영 그래요 어렵다구요,오프로드 타이어 / 개쩌는 엔진 아마도,2026-06-26,,,0:54.383
fiesta17race-s1800,Ford,#14 Rahal Letterman Lanigan Racing Fiesta 2017,S1 800,랠리 몬스터,4WD,혼합,759 744 209,620hp,1254kg,1.9G,최대한 빠른 S1 랠리를 목표로 했는데 얘는 별루...,랠리 표본으로 만들었는데 질감만 좋고 실제론 빠르지 않음,그냥 기본적인 랠리 튜닝,2026-06-26,,,0:55.973
galant92-c500,Mitsubishi,Galant VR-4 1992,C 500,레트로 랠리,4WD,페스티벌 시즌 숙제,485 729 648,250hp,1353kg,1.5G,랠리 뛰는 사슴벌레 / 앞에 있으면 무조건 베임 ㄷㄷ,사슴벌레 한 마리 튀어나옴,코멘트로 적을 게 없습니다...,2026-06-25,,,1:06.264
diablosv97-A700-1,Lamborghini,Diablo SV 1997,A 700,레트로 슈퍼카,RWD,페스티벌 시즌 숙제,312 655 921,617hp,1313kg,1.8G,앞 돌아가는 안정형 슈퍼카,시즌 튜닝인데 차 생각보다 괜찮게 깎임,오프로드 타이어,2026-06-25,,1:32.253,
corvettezr119-S1800,Chevrolet,Corvette ZR1 2019,S1 800,트랙 토이,RWD,온로드,151 101 076,849hp,1353kg,2.0G,FR인데 느낌은 MR에 가까운거 같음,순정(purist) 튜닝/ 무거우면 그만큼 큰 엔진을 달면 되는거지 그게 미국식이지,드리프트 타이어,2026-06-25,,1:24.107,
8613-A700,Toyota,86 2013,A 700,모던 스포츠카,RWD,온로드,190 854 429,393hp,1019kg,1.8G,브레이크 잘 잠김,없길래 만들어본 튜닝/ 생각보다 잘 안돌아가네,경량화/ 포르자 리어윙/ 순정엔진/ 세미슬릭,2026-06-25,,1:32.428,
sierra87-a700,Ford,Sierra Cosworth RS500 1987,A 700,레트로 슈퍼 세단,RWD,온로드,146 502 341,479hp,1141kg,1.7G,88년도에 DTM 시리즈를 우승했던 그때 그 튜닝을 포르자에 녹여냄,88년도 DTM 우승 컨셉 튜닝,스포츠 / 그룹A / 데칼이랑 같이 끼세요,2026-06-24,,1:32.375,
190e90-a700,Mercedes-Benz,190E 2.5-16 Evo II 1990,A 700,레트로 슈퍼 세단,RWD,온로드,131 811 919,372hp,1094kg,1.7G,92년도에 DTM 시리즈를 우승했던 그때 그 튜닝을 포르자에 녹여냄,92년도 DTM 우승 컨셉 튜닝,세미슬릭 / 그룹A / 데칼이랑 같이 끼세요,2026-06-24,,1:32.432,
m388-a700,BMW,M3 1988,A 700,레트로 슈퍼 세단,RWD,온로드,541 021 804,299hp,1023kg,1.9G,87년도에 DTM 시리즈를 우승했던 그때 그 튜닝을 포르자에 녹여냄,87년도 DTM 우승 컨셉 튜닝,세미슬릭 / 그룹A / 데칼이랑 같이 끼세요,2026-06-24,,1:32.001,
evo601-B600,Mitsubishi,Lancer Evolution VI GSR TM Edition 2001,B 600,레트로 랠리,4WD,혼합,277 013 727,280hp,1195kg,1.7G,핸들링 위주 튜닝이라 편안함을 추구,공짜로 주는 거 랠리 혼합 튜닝 / 리모델링,경량/서스 튜닝 외 아무것도 안함/호쿠부 단 2바퀴 만에 저 기록 나옴,2026-06-24,1:02.741,1:40.846,1:01.209
mini65-b600,Mini,Cooper S 1965,B 600,클래식 랠리,4WD,혼합,170 467 798,175hp,599kg,1.5G,B클래스 오프로드용,무난한 걸 꿈꿨는데 지 성격이 너무 확실해져버림,오프로드로는 진짜 좋긴 한데 온로드 겸용으로 쓰기에는 좀 아깝고 그렇다고 랠리 뛰는 거에는 모자람이 없는 괴상한 녀석,2026-06-23,,1:42.975,0:59.787
m60010-S2900,Noble,M600 2010,S2 900,레트로 슈퍼카,RWD,온로드,146 411 426,840hp,1110kg,2.4G,원래 S1 으로 하려 했는데 실패해서 S2행,지극히 영국스러운 녀석,상당히 민감하고 빠르고 골때림,2026-06-23,,1:17.656,
m4coupe14-A700,BMW,M4 Coupé 2014,A 700,모던 슈퍼 세단,RWD,온로드,944 673 298,515hp,1502kg,1.8G,마음같아선 섀시 절단해서 경량화 하고 싶음,V10 자연흡기 스왑/ 포르자 에어로/ 차 진짜 뒤지게 무겁네,V10 스왑/ 드리프트 타이어,2026-06-22,,1:31.249,
amghammercoupe87-B600,Mercedes-Benz,AMG Hammer Coupe 1987,B 600,레트로 슈퍼 세단,RWD,온로드,716 355 060,379hp,1494kg,1.4G,옛날 차는 감성으로 타는것이다,차가 이뻐서 튜닝함/ 순정(purist) 튜닝,원본 유지,2026-06-22,,1:41.824,
impalaSS96-B600,Chevrolet,Impala Super Sport 1996,B 600,레트로 머슬,RWD,온로드,106 260 860,432hp,1459kg,1.4G,성능 범퍼 있길래 못참았음,경찰차 외형/ 슈퍼차저 튜닝,경량화/ 스트리트 타이어/ 정변위 슈퍼차저,2026-06-22,,1:41.320,
488pista19-S1800-2,Ferrari,488 Pista 2019,S1 800,트랙 토이,RWD,온로드,142 082 395,741hp,1253kg,2.2G,절대 피스타의 후방 서스펜션을 부드럽게 하지마,피스타 튜닝 수정판/ 포르자 에어로/ 전보다 좀 더 과감하게 밟아도 됨,458에 한거랑 비슷하게 함,2026-06-22,,1:21.648,
glanza96,Toyota,Starlet Glanza V 1996,C 500,레트로 핫 해치,FWD,온로드,133 117 962,141hp,837kg,1.4G,인도 현지 모델이라는 걸 감안에서 저렴하게 만듬,대체 이게 뭔 차인가 싶어서 만들었는데 이상하게 좋음,뭐 바꾼 게 딱히 많진 않은데,2026-06-21,,1:48.831,
vipergtsacr99-A700,Dodge,Viper GTS ACR 1999,A 700,레트로 머슬,RWD,온로드,157 191 052,483hp,1306kg,1.7G,윙 안달아도 코너링 자체는 잘된다 그것이 과부제조기니깐,과부제조기/ 순정(Purist) 튜닝/ 코너 탈출할때 토크 오버 주의,경량화/ 드리프트 타이어,2026-06-21,,1:32.265,
racingpuma99-B600,Ford,Racing Puma 1999,B 600,레트로 랠리,FWD,온로드,506 621 689,235hp,975kg,1.9G,경량 세미슬릭 에어로,토우게/트랙 튜닝,코너링 좋음,2026-06-20,,1:37.540,
quattro86-s1800-2,Audi,#2 Audi Sport quattro S1 1986,S1 800,랠리 몬스터,4WD,혼합,290 572 116,681hp,1119kg,2.0G,난 진짜 빠른 걸 만들어보고 싶었고 성공한듯?,뭔가 만들다보니까 심각하게 잘못된 걸 만들어버렸는데 심각하게 빠르기도 합니다 / 그냥 타기 쉬운 게 브레이크 밟고 핸들을 돌리고 엑셀을 밟으면 차가 알아서 해줍니다,오프로드 타이어 다운그레이드 / 빠르고 몰기 쉬운데 이상하게 좋음,2026-06-20,,1:23.515,0:52.663
459speciale13-S1800,Ferrari,458 Speciale 2013,S1 800,트랙 토이,RWD,온로드,804 278 190,615hp,1160kg,2.2G,엔진 좋고 가볍고 그립좋음,포르자 에어로 장착/ 그립주행 특화,경량화/ 드리프트 타이어/ 순정 엔진,2026-06-20,,1:20.433,
rs20085,Ford,RS200 Evolution 1985,S1 800,랠리 몬스터,4WD,혼합,138 020 539,850hp,1106kg,2.0G,최대한 빠른 오프로드?,뭔가 S1 랠리 몬스터 표본이 없어서 만들어봄,랠리 타이어에 V8 스왑해서 자연흡기됨,2026-06-19,,,0:55.463
m588-c500,BMW,M5 1988,C 500,레트로 핫 해치,RWD,페스티벌 시즌 숙제,599 705 059,299hp,1429kg,1.3G,숙제만 깰 수 있게끔 튜닝,C클래스용 레트로 세단,타이어 올리고 서스 만지고 엔진 조금?,2026-06-18,,1:51.115,
civicsi86-d500,Honda,Civic Si 1986,D 400,레트로 핫 해치,FWD,페스티벌 시즌 숙제,715 941 105,132hp,755kg,1.1G,숙제 깨려고 만든건데 본판이 좋은가?,숙제 전용인데 생각보다 괜찮음,서스조차 순정인 미친놈,2026-06-18,,,
golf21-a700,Volkswagen,Golf R 2021,A 700,슈퍼 핫 해치,4WD,온로드,101 829 243,432hp,1220kg,1.9G,온로드 전용이긴 한데 급하면 오프로드로 던져볼 만 함,A클 슈퍼 핫 해치가 없어서 만들었는데 상당히 좋은 게 나옴 / 급하면 오프로드에 던져도됨,개쩌는 터보/랠리 타이어,2026-06-18,,1:30.420,1:00.204
5tub80-b600,Renault,5 Turbo 1980,B 600,레트로 랠리,4WD,혼합,131 537 025,260hp,960kg,1.6G,그냥 한번에 다 털고 싶어서 만든 종합세트,이번에도 돌아온 시즌 국밥,4륜 / 오프로드 / 개쩌는 그립?,2026-06-18,,1:40.133,1:01.430
integrawtac01-S2900,Honda,#33 Integra WTAC,S2 900,익스트림 트랙토이,FWD,온로드,202 910 540,616hp,893kg,3.2G,이게 왜 익스트림 트랙 토이인지 증명해보려고 함,뭔가 이 멋진 걸 튜닝 안 하는 건 범죄 같아서 함,멋진 슬릭과 핸들링/상대적 빈약한 엔진?,2026-06-17,,1:13.754,
gts15-S1800,Mercedes-AMG,GT S 2015,S1 800,슈퍼 GT,RWD,온로드,769 346 933,686hp,1305kg,2.2G,엔진 출력이 조금 아쉽네,트랙 세팅 GT카/ GT에서 경량화하고 슬릭끼고 에어로 달면 그게 GT3인거지,경량화/에어로/슬릭타이어,2026-06-17,,1:22.528,
